iter	Passed	Remaining
790	49101	12973
791	49161	12910
792	49204	12844
793	49237	12774
794	49338	12722
795	49374	12653
796	49472	12600
797	49557	12544
798	49631	12485
799	49677	12419
800	49726	12354
801	49766	12286
802	49848	12229
803	49900	12164
804	49966	12103
805	50004	12035
806	50058	11971
807	50105	11906
808	50158	11842
809	50196	11774
810	50238	11707
811	50274	11639
812	50333	11577
813	50371	11509
814	50449	11451
815	50542	11396
816	50584	11330
817	50680	11276
818	50728	11211
819	50764	11143
820	50820	11080
821	50885	11018
822	50927	10952
823	50993	10891
824	51081	10835
825	51104	10765
826	51141	10698
827	51181	10631
828	51216	10564
829	51259	10499
830	51318	10436
831	51380	10375
